cadadddddr,								b
caddadddddr,							c
caadddddr,								a
caddadddddr,							c
cadddddddddddddddddddadddddr,			t
cadddddadddddr,							f
caaddddddr,								{
cadddddddddddadddr,						L
cadadr,									1
cadddddadr,								5
cadddddddadr,							7
caddddaddddr,							_
caddddddddadr,							8
caddddadr,								4
cadddddadr,								5
cadddadr,								3
cadddadddddr,							d
caddddaddddr,							_
cadddddddddddddddadddddr,				p
cadddddddddddddddddadddr,				R
caadr,									0
caddddddadddddr,						g
cadddddddddddddddddadddr,				R
caddddadr,								4
caddddddddddddadddr,					M
caddddddddddddadddddr,					m
cadadr,									1
cadddddddddddddadddddr,					n
caddddddadddr,							G
caddddaddddr,							_
cadadr,									1
cadddddadr,								5
caddddaddddr,							_
caddddadr,								4
caddddddddddddddddddddddadddddr,		w
cadddadr,								3
caddddddddddddddddddadddr,				S			
caadr,									0
caddddddddddddadddr,					M
caddddadddddr,							e
cadar,									!	
caddaddddddr
